	benchmark	hardware_vendor	system	cores	chips	cores_per_chip	processor_mhz	base_copies	result	baseline	published	days
122	CINT2006rate	Dell Inc.	Intel Xeon Gold 5118	24	2	12	2300	48	1170	1120	Sep-2017	6453
123	CINT2006rate	Dell Inc.	Intel Xeon Gold 5122	8	2	4	3600	16	573	544	Oct-2017	6483
124	CINT2006rate	Dell Inc.	Intel Xeon Gold 6126	24	2	12	2600	48	1360	1290	Oct-2017	6483
125	CINT2006rate	Dell Inc.	Intel Xeon Gold 6136	24	2	12	3000	48	1510	1430	Oct-2017	6483
126	CINT2006rate	Dell Inc.	Intel Xeon Gold 6136	24	2	12	3000	48	1500	1420	Sep-2017	6453
127	CINT2006rate	Dell Inc.	Intel Xeon Gold 6140	36	2	18	2300	72	1850	1760	Sep-2017	6453
128	CINT2006rate	Dell Inc.	Intel Xeon Gold 6142	32	2	16	2600	64	1760	1680	Sep-2017	6453
129	CINT2006rate	Dell Inc.	Intel Xeon Gold 6148	40	2	20	2400	80	1990	1900	Oct-2017	6483
130	CINT2006rate	Dell Inc.	Intel Xeon Gold 6152	44	2	22	2100	88	2020	1920	Oct-2017	6483
131	CINT2006rate	Dell Inc.	Intel Xeon Gold 5115	20	2	10	2400	40	1010	963	Sep-2017	6453
132	CINT2006rate	Dell Inc.	Intel Xeon Gold 5118	24	2	12	2300	48	1190	1140	Oct-2017	6483
133	CINT2006rate	Dell Inc.	Intel Xeon Gold 5120	28	2	14	2200	56	1340	1280	Sep-2017	6453
134	CINT2006rate	Dell Inc.	Intel Xeon Gold 5120	28	2	14	2200	56	1330	1270	Sep-2017	6453
135	CINT2006rate	Dell Inc.	Intel Xeon Gold 5122	8	2	4	3600	16	565	536	Sep-2017	6453
136	CINT2006rate	Dell Inc.	Intel Xeon Gold 6126	24	2	12	2600	48	1350	1290	Oct-2017	6483
137	CINT2006rate	Dell Inc.	Intel Xeon Gold 6128	12	2	6	3400	24	857	809	Sep-2017	6453
138	CINT2006rate	Dell Inc.	Intel Xeon Gold 6130	32	2	16	2100	64	1560	1480	Oct-2017	6483
139	CINT2006rate	Dell Inc.	Intel Xeon Gold 6132	28	2	14	2600	56	1570	1490	Oct-2017	6483
140	CINT2006rate	Dell Inc.	Intel Xeon Gold 6136	24	2	12	3000	48	1510	1430	Oct-2017	6483
141	CINT2006rate	Dell Inc.	Intel Xeon Gold 6138	40	2	20	2100	80	1820	1730	Oct-2017	6483
142	CINT2006rate	Dell Inc.	Intel Xeon Gold 6140	36	2	18	2300	72	1790	1700	Oct-2017	6483
143	CINT2006rate	Dell Inc.	Intel Xeon Gold 6142	32	2	16	2600	64	1710	1620	Oct-2017	6483
144	CINT2006rate	Dell Inc.	Intel Xeon Gold 6148	40	2	20	2400	80	1940	1850	Sep-2017	6453
145	CINT2006rate	Dell Inc.	Intel Xeon Gold 6150	36	2	18	2700	72	1930	1840	Oct-2017	6483
146	CINT2006rate	Dell Inc.	Intel Xeon Gold 6152	44	2	22	2100	88	2020	1920	Oct-2017	6483
147	CINT2006rate	Dell Inc.	Intel Xeon Gold 5122	8	2	4	3600	16	581	547	Sep-2017	6453
148	CINT2006rate	Dell Inc.	Intel Xeon Gold 6152	44	2	22	2100	88	0	1930	Sep-2017	6453
149	CINT2006rate	Dell Inc.	Intel Xeon Gold 5122	8	2	4	3600	16	0	544	Sep-2017	6453
150	CINT2006rate	Dell Inc.	Intel Xeon Gold 6138	40	2	20	2000	80	0	1730	Sep-2017	6453
151	CINT2006rate	Dell Inc.	Intel Xeon Gold 5115	20	2	10	2400	40	0	976	Aug-2017	6422
152	CINT2006rate	Dell Inc.	Intel Xeon Gold 5118	24	2	12	2300	48	1200	1140	Aug-2017	6422
153	CINT2006rate	Dell Inc.	Intel Xeon Gold 5120	28	2	14	2200	56	1350	1290	Aug-2017	6422
154	CINT2006rate	Dell Inc.	Intel Xeon Gold 5122	8	2	4	3600	16	571	541	Aug-2017	6422
155	CINT2006rate	Dell Inc.	Intel Xeon Gold 6126	24	2	12	2600	48	1400	1320	Aug-2017	6422
156	CINT2006rate	Dell Inc.	Intel Xeon Gold 6128	12	2	6	3400	24	856	809	Aug-2017	6422
157	CINT2006rate	Dell Inc.	Intel Xeon Gold 6130	32	2	16	2100	64	1600	1510	Aug-2017	6422
158	CINT2006rate	Dell Inc.	Intel Xeon Gold 6132	28	2	14	2600	56	1590	1510	Aug-2017	6422
159	CINT2006rate	Dell Inc.	Intel Xeon Gold 6134	16	2	8	3200	32	1100	1040	Sep-2017	6453
160	CINT2006rate	Dell Inc.	Intel Xeon Gold 6136	24	2	12	3000	48	0	1460	Aug-2017	6422
161	CINT2006rate	Dell Inc.	Intel Xeon Gold 6138	40	2	20	2000	80	1880	1780	Aug-2017	6422
162	CINT2006rate	Dell Inc.	Intel Xeon Gold 6140	36	2	18	2300	72	1860	1770	Aug-2017	6422
