	benchmark	hardware_vendor	system	#_cores	#_chips	#_cores_per_chip	processor_mhz	base_copies	result	baseline	published	days
74	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8180M	56	2	28	2500	112	0	2710	Jul-2017	6361
75	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8153	64	4	16	2000	128	2770	2620	Jul-2017	6361
76	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8156	16	4	4	3600	32	1150	1080	Jul-2017	6361
77	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8158	48	4	12	3000	96	3050	2870	Jul-2017	6361
78	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8160	96	4	24	2100	192	4380	4160	Jul-2017	6361
79	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8164	104	4	26	2000	208	4480	4280	Jul-2017	6361
80	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8168	96	4	24	2700	192	4980	4770	Jul-2017	6361
81	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8170	104	4	26	2100	208	4610	4420	Jul-2017	6361
82	CINT2006rate	Dell Inc.	Intel Xeon Platinum 8180	112	4	28	2500	224	0	5200	Jul-2017	6361
83	CINT2006rate	Fujitsu	Intel Xeon Platinum 8180	224	8	28	2500	447	11800	11400	Oct-2017	6453
84	CINT2006rate	Fujitsu	Intel Xeon Platinum 8180	224	8	28	2500	447	0	10500	Jul-2017	6361
85	CINT2006rate	Fujitsu	Intel Xeon Platinum 8153	32	2	16	2000	64	0	1370	Sep-2017	6422
86	CINT2006rate	Fujitsu	Intel Xeon Platinum 8160	48	2	24	2100	96	0	2170	Sep-2017	6422
87	CINT2006rate	Fujitsu	Intel Xeon Platinum 8164	52	2	26	2000	104	0	2220	Sep-2017	6422
88	CINT2006rate	Fujitsu	Intel Xeon Platinum 8168	48	2	24	2700	96	0	2460	Sep-2017	6422
89	CINT2006rate	Fujitsu	Intel Xeon Platinum 8170	52	2	26	2100	104	0	2310	Sep-2017	6422
