	benchmark	hardware_vendor	system	cores	chips	cores_per_chip	processor_mhz	base_copies	result	baseline	published
165	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6146, 3.20 GHz)	24	2	12	3200	48	0	1540	Sep-2017
166	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6148, 2.40 GHz)	40	2	20	2400	80	0	1950	Aug-2017
167	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6150, 2.70 GHz)	36	2	18	2700	72	2020	1930	Aug-2017
168	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6152, 2.10 GHz)	44	2	22	2100	88	2090	1990	Aug-2017
169	CINT2006rate	Dell Inc.	PowerEdge R640 (Intel Xeon Gold 6154, 3.00 GHz)	36	2	18	3000	72	0	2040	Sep-2017
170	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 5115, 2.40 GHz)	20	2	10	2400	40	0	972	Jul-2017
171	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 5118, 2.30 GHz)	24	2	12	2300	48	0	1140	Jul-2017
172	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 5118, 2.30 GHz)	24	2	12	2300	48	0	1110	Jul-2017
173	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 5119T, 1.90 GHz)	28	2	14	1900	56	0	1180	Oct-2017
174	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 5120, 2.20 GHz)	28	2	14	2200	56	0	1280	Jul-2017
175	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 5120T, 2.20 GHz)	28	2	14	2200	56	0	1260	Oct-2017
176	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 5122, 3.60 GHz)	8	2	4	3600	16	0	540	Jul-2017
177	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 5122, 3.60 GHz)	8	2	4	3600	16	0	540	Jul-2017
178	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6126, 2.60 GHz)	24	2	12	2600	48	0	1280	Jul-2017
179	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6126T, 2.60 GHz)	24	2	12	2600	48	0	1320	Oct-2017
180	CINT2006rate	Dell Inc.	PowerEdge R740 (Intel Xeon Gold 6128, 3.40 GHz)	12	2	6	3400	24	0	809	Jul-2017
